Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Insulin secretion	2/86	0.1023588626707606	0.46854234620919405	0	0	3.7999231950844856	8.661052380360013	KCNMA1;ATP1A1
Alcoholism	3/180	0.10513835323213251	0.46854234620919405	0	0	2.7142069725782005	6.11369189035841	HIST1H3A;HIST1H2AJ;CAMKK2
Salivary secretion	2/90	0.11039630945938825	0.46854234620919405	0	0	3.626466275659824	7.991566032846602	KCNMA1;ATP1A1
Steroid biosynthesis	1/19	0.11319707712106233	0.46854234620919405	0	0	8.82488888888889	19.22612297339285	DHCR24
Circadian entrainment	2/97	0.12483915593511667	0.46854234620919405	0	0	3.358064516129032	6.987222634869648	PER1;PER3
Glycerophospholipid metabolism	2/97	0.12483915593511667	0.46854234620919405	0	0	3.358064516129032	6.987222634869648	CHKA;MBOAT2
Prostate cancer	2/97	0.12483915593511667	0.46854234620919405	0	0	3.358064516129032	6.987222634869648	KLK3;IGF1R
Aldosterone synthesis and secretion	2/98	0.12693843722976525	0.46854234620919405	0	0	3.3229166666666665	6.858676301574816	NR4A1;ATP1A1
Choline metabolism in cancer	2/99	0.12904614613992038	0.46854234620919405	0	0	3.28849351513136	6.733470706378639	CHKA;SLC44A1
Progesterone-mediated oocyte maturation	2/99	0.12904614613992038	0.46854234620919405	0	0	3.28849351513136	6.733470706378639	CDK1;IGF1R
Histidine metabolism	1/23	0.13535667779376717	0.46854234620919405	0	0	7.218909090909091	14.436677066560293	ALDH1A3
Proximal tubule bicarbonate reclamation	1/23	0.13535667779376717	0.46854234620919405	0	0	7.218909090909091	14.436677066560293	ATP1A1
Renin-angiotensin system	1/23	0.13535667779376717	0.46854234620919405	0	0	7.218909090909091	14.436677066560293	KLK2
Vitamin digestion and absorption	1/24	0.14081019405607106	0.47523440493923985	0	0	6.904695652173913	13.535567900922477	ABCC1
Biosynthesis of unsaturated fatty acids	1/27	0.15696683707587714	0.5045362620296051	0	0	6.1070769230769235	11.308600906176348	ELOVL5
Fatty acid elongation	1/27	0.15696683707587714	0.5045362620296051	0	0	6.1070769230769235	11.308600906176348	ELOVL5
Thyroid hormone signaling pathway	2/116	0.1659927641878186	0.5061447817515534	0	0	2.795698924731183	5.020547107628672	PFKFB2;ATP1A1
Nicotinate and nicotinamide metabolism	1/30	0.17282202896302762	0.5061447817515534	0	0	5.47448275862069	9.610415878416694	NNMT
beta-Alanine metabolism	1/31	0.1780410712140333	0.5061447817515534	0	0	5.291733333333333	9.132161270435885	ALDH1A3
Galactose metabolism	1/31	0.1780410712140333	0.5061447817515534	0	0	5.291733333333333	9.132161270435885	SI
Mucin type O-glycan biosynthesis	1/31	0.1780410712140333	0.5061447817515534	0	0	5.291733333333333	9.132161270435885	ST6GALNAC1
Oocyte meiosis	2/125	0.18623056610027325	0.5061447817515534	0	0	2.589955415683189	4.35311876898171	CDK1;IGF1R
Fructose and mannose metabolism	1/33	0.1883813498342036	0.5061447817515534	0	0	4.9605	8.28049773752896	PFKFB2
Endocytosis	3/244	0.1994347656289069	0.5061447817515534	0	0	1.9869446412306446	3.2034874326193683	CAPZB;NEDD4L;IGF1R
Starch and sucrose metabolism	1/36	0.2036502773804248	0.5061447817515534	0	0	4.534628571428572	7.216186087437459	SI
Tyrosine metabolism	1/36	0.2036502773804248	0.5061447817515534	0	0	4.534628571428572	7.216186087437459	ALDH1A3
DNA replication	1/36	0.2036502773804248	0.5061447817515534	0	0	4.534628571428572	7.216186087437459	MCM4
Systemic lupus erythematosus	2/133	0.2044971615384556	0.5061447817515534	0	0	2.430805220389067	3.8581769229102694	HIST1H3A;HIST1H2AJ
Thyroid cancer	1/37	0.20867632029573777	0.5061447817515534	0	0	4.408444444444444	6.90790430957761	GADD45G
Estrogen signaling pathway	2/137	0.21370557451732256	0.5061447817515534	0	0	2.358303464755078	3.639230215230354	KRT18;FKBP5
Insulin signaling pathway	2/137	0.21370557451732256	0.5061447817515534	0	0	2.358303464755078	3.639230215230354	SOCS2;FASN
Ferroptosis	1/40	0.22356640404400585	0.5097385140426844	0	0	4.068717948717949	6.095129900088538	ACSL3
Glycine, serine and threonine metabolism	1/40	0.22356640404400585	0.5097385140426844	0	0	4.068717948717949	6.095129900088538	GNMT
Apoptosis	2/143	0.22758948006673127	0.5097385140426844	0	0	2.2572637840311143	3.3412284864566235	TNFRSF10B;GADD45G
Breast cancer	2/147	0.2368819474885464	0.5097385140426844	0	0	2.1945494994438266	3.16057564759399	IGF1R;GADD45G
Type I diabetes mellitus	1/43	0.23817848781208822	0.5097385140426844	0	0	3.7775238095238097	5.41974538710737	PTPRN2
Fatty acid degradation	1/44	0.2429882973984719	0.5097385140426844	0	0	3.6894883720930234	5.219674142481866	ACSL3
Type II diabetes mellitus	1/46	0.2525177210755379	0.5097385140426844	0	0	3.5251555555555556	4.851579409181741	SOCS2
Amino sugar and nucleotide sugar metabolism	1/48	0.26192812637195095	0.5097385140426844	0	0	3.3748085106382977	4.521180810968198	UAP1
Valine, leucine and isoleucine degradation	1/48	0.26192812637195095	0.5097385140426844	0	0	3.3748085106382977	4.521180810968198	HMGCS1
Arginine and proline metabolism	1/49	0.2665891587198105	0.5097385140426844	0	0	3.304333333333333	4.368482440530503	ODC1
Ovarian steroidogenesis	1/49	0.2665891587198105	0.5097385140426844	0	0	3.304333333333333	4.368482440530503	IGF1R
Cellular senescence	2/160	0.2671921329479894	0.5097385140426844	0	0	2.0126582278481013	2.656280728731242	CDK1;GADD45G
Hippo signaling pathway	2/160	0.2671921329479894	0.5097385140426844	0	0	2.0126582278481013	2.656280728731242	WWC1;SNAI2
N-Glycan biosynthesis	1/50	0.2712209880572274	0.5097385140426844	0	0	3.236734693877551	4.223360488574632	FUT8
Necroptosis	2/162	0.27186054082276506	0.5097385140426844	0	0	1.9872983870967742	2.588388703732461	HIST1H2AJ;TNFRSF10B
cGMP-PKG signaling pathway	2/166	0.28119445483832534	0.5145453957765016	0	0	1.9384343036978757	2.459308734682276	KCNMA1;ATP1A1
MAPK signaling pathway	3/295	0.2846645685898623	0.5145453957765016	0	0	1.6356498496491814	2.055102021264043	NR4A1;IGF1R;GADD45G
Hepatocellular carcinoma	2/168	0.28585855320916753	0.5145453957765016	0	0	1.9148853478429848	2.3979308017276604	IGF1R;GADD45G
Pathogenic Escherichia coli infection	1/55	0.29394840371672587	0.5221451908126052	0	0	2.9362962962962964	3.595057378920437	KRT18
Glutathione metabolism	1/56	0.29840878791255354	0.5231842385479835	0	0	2.882763636363636	3.486100008087974	ODC1
Endometrial cancer	1/58	0.30724586310740704	0.5317716861474353	0	0	2.7813333333333334	3.2822709217663366	GADD45G
Long-term depression	1/60	0.3159725007922475	0.5333814399194516	0	0	2.686779661016949	3.0954390946179076	IGF1R
Axon guidance	2/181	0.316077890322638	0.5333814399194516	0	0	1.774644080014417	2.043975791390836	EPHA6;SEMA6A
Glycerolipid metabolism	1/61	0.320294834119899	0.533824723533165	0	0	2.6418666666666666	3.0078004709071138	MBOAT2
Basal cell carcinoma	1/63	0.32885837761932274	0.5414131826659582	0	0	2.5563870967741935	2.8430298840404067	GADD45G
Cortisol synthesis and secretion	1/65	0.33731487515325803	0.5423877485884611	0	0	2.47625	2.6910360551785066	NR4A1
Acute myeloid leukemia	1/66	0.34150339725940143	0.5423877485884611	0	0	2.4380307692307692	2.6194145338917076	ZBTB16
Non-small cell lung cancer	1/66	0.34150339725940143	0.5423877485884611	0	0	2.4380307692307692	2.6194145338917076	GADD45G
Glycolysis / Gluconeogenesis	1/68	0.3498018098550549	0.5481042365169655	0	0	2.3650149253731345	2.4841845803115867	ALDH1A3
Renin secretion	1/69	0.35391202624574164	0.5481042365169655	0	0	2.3301176470588234	2.4203093014928676	KCNMA1
Prolactin signaling pathway	1/70	0.3579964648354683	0.5481042365169655	0	0	2.296231884057971	2.3587632550942317	SOCS2
Thyroid hormone synthesis	1/74	0.37407963411108575	0.5481042365169655	0	0	2.169972602739726	2.1337049366426606	ATP1A1
Metabolism of xenobiotics by cytochrome P450	1/74	0.37407963411108575	0.5481042365169655	0	0	2.169972602739726	2.1337049366426606	ALDH1A3
PPAR signaling pathway	1/74	0.37407963411108575	0.5481042365169655	0	0	2.169972602739726	2.1337049366426606	ACSL3
Gastric acid secretion	1/75	0.378037569753694	0.5481042365169655	0	0	2.1405405405405404	2.082235849609774	ATP1A1
Pancreatic cancer	1/75	0.378037569753694	0.5481042365169655	0	0	2.1405405405405404	2.082235849609774	GADD45G
Chronic myeloid leukemia	1/76	0.38197067523865846	0.5481042365169655	0	0	2.111893333333333	2.032510303454039	GADD45G
cAMP signaling pathway	2/212	0.38672525136315233	0.5481042365169655	0	0	1.5102918586789555	1.434838859797489	ABCC4;ATP1A1
Cardiac muscle contraction	1/78	0.3897630126342866	0.5481042365169655	0	0	2.056831168831169	1.9379800273626286	ATP1A1
Chemical carcinogenesis	1/82	0.4050564607540653	0.5631704475588112	0	0	1.9548641975308643	1.7666670994870681	ALDH1A3
Peroxisome	1/83	0.4088200285982481	0.5631704475588112	0	0	1.9309268292682926	1.7271759084517475	ACSL3
Colorectal cancer	1/86	0.4199695974564232	0.5726858147133044	0	0	1.8624941176470589	1.6158495296629436	GADD45G
Gap junction	1/88	0.4272864905266051	0.5740532028311525	0	0	1.8194942528735631	1.547116968908124	CDK1
Pathways in cancer	4/530	0.42947684063663993	0.5740532028311525	0	0	1.2060088512123668	1.0193035585328927	ZBTB16;KLK3;IGF1R;GADD45G
Protein digestion and absorption	1/90	0.43451180644978854	0.5750891555953084	0	0	1.7784269662921348	1.4823760744379602	ATP1A1
Small cell lung cancer	1/93	0.4451805569683239	0.5834890795215897	0	0	1.7201739130434783	1.3920943164893682	GADD45G
HIF-1 signaling pathway	1/100	0.46930404232413414	0.6091927472476741	0	0	1.597979797979798	1.2088788165174762	IGF1R
Drug metabolism	1/108	0.4956017605695364	0.637202263589404	0	0	1.4779065420560749	1.0374646427112635	ALDH1A3
Glutamatergic synapse	1/114	0.5144728093498466	0.6552248043606538	0	0	1.3990088495575221	0.9297988722634949	HOMER2
Sphingolipid signaling pathway	1/119	0.5296623724915105	0.6682656101528404	0	0	1.3393898305084746	0.851203009165245	ABCC1
Natural killer cell mediated cytotoxicity	1/131	0.5642209791834661	0.7022284845895627	0	0	1.2150153846153846	0.6953646008048276	TNFRSF10B
Vascular smooth muscle contraction	1/132	0.5669844801500914	0.7022284845895627	0	0	1.2056793893129771	0.6841306350937103	KCNMA1
Ubiquitin mediated proteolysis	1/137	0.580543345634304	0.7124850150966459	0	0	1.1610588235294117	0.6313731194397061	NEDD4L
Signaling pathways regulating pluripotency of stem cells	1/139	0.5858481910801743	0.7125180702326444	0	0	1.1441159420289855	0.6117525960200003	IGF1R
Adrenergic signaling in cardiomyocytes	1/145	0.6013666441712544	0.7222603406483569	0	0	1.096111111111111	0.5574278246722856	ATP1A1
Retrograde endocannabinoid signaling	1/148	0.6089081303346938	0.7222603406483569	0	0	1.073578231292517	0.5325891444398188	NAPEPLD
Gastric cancer	1/149	0.6113903696076982	0.7222603406483569	0	0	1.0662702702702702	0.5246258942908609	GADD45G
mTOR signaling pathway	1/152	0.6187436946068282	0.7222603406483569	0	0	1.0449271523178807	0.5016320711304207	IGF1R
Oxytocin signaling pathway	1/153	0.6211639954887019	0.7222603406483569	0	0	1.038	0.4942542346618436	CAMKK2
Cushing syndrome	1/155	0.6259589618952427	0.7222603406483569	0	0	1.0244155844155844	0.47990844632030727	NR4A1
Wnt signaling pathway	1/158	0.6330387431482756	0.7242392400425187	0	0	1.004687898089172	0.4593670709951742	RNF43
JAK-STAT signaling pathway	1/162	0.6422720513581506	0.7268189430091235	0	0	0.9795279503105591	0.4336794460194453	SOCS2
Protein processing in endoplasmic reticulum	1/165	0.6490454340375553	0.7268189430091235	0	0	0.9614634146341463	0.4155950208866532	EDEM3
PI3K-Akt signaling pathway	2/354	0.6562880787987324	0.7268189430091235	0	0	0.8945197947214076	0.37673187945522685	NR4A1;IGF1R
Tight junction	1/170	0.6600527956808827	0.7268189430091235	0	0	0.9327810650887574	0.3875103249826639	NEDD4L
Influenza A	1/171	0.6622128147416458	0.7268189430091235	0	0	0.9272470588235294	0.3821818460358256	TNFRSF10B
Focal adhesion	1/199	0.7174640121066292	0.7664687447897254	0	0	0.794989898989899	0.26396247564588793	IGF1R
Viral carcinogenesis	1/201	0.7210483747281119	0.7664687447897254	0	0	0.78696	0.25737452039707404	CDK1
Epstein-Barr virus infection	1/201	0.7210483747281119	0.7664687447897254	0	0	0.78696	0.25737452039707404	GADD45G
Proteoglycans in cancer	1/201	0.7210483747281119	0.7664687447897254	0	0	0.78696	0.25737452039707404	IGF1R
Rap1 signaling pathway	1/206	0.7298131269162987	0.7697247822945338	0	0	0.767570731707317	0.24175927268201133	IGF1R
Human immunodeficiency virus 1 infection	1/212	0.739970853780667	0.7743881027937213	0	0	0.7455165876777251	0.2245082053829103	CDK1
Thermogenesis	1/231	0.7697029905240764	0.7947180055461208	0	0	0.6832695652173914	0.17884619483735273	ACSL3
Ras signaling pathway	1/232	0.7711708053817913	0.7947180055461208	0	0	0.6802770562770563	0.17676685869327174	IGF1R
Cytokine-cytokine receptor interaction	1/294	0.8461596416987355	0.8638130811107507	0	0	0.5346348122866894	0.08930926734445689	TNFRSF10B
MicroRNAs in cancer	1/299	0.8510158502794802	0.8638130811107507	0	0	0.5255302013422819	0.08478091016088506	ABCC1
Neuroactive ligand-receptor interaction	1/338	0.8840254365500968	0.8906226413004705	0	0	0.46378635014836794	0.0571706847664908	CHRNA2
Herpes simplex virus 1 infection	1/492	0.9570746652964193	0.9570746652964193	0	0	0.3158126272912424	0.013855922283349136	ZNF350
